iter	Passed	Remaining
0	14	7233
1	29	7317
2	49	8166
3	68	8553
4	97	9648
5	126	10388
6	144	10169
7	157	9693
8	169	9263
9	181	8879
10	193	8584
11	204	8325
12	216	8126
13	228	7938
14	240	7785
15	252	7642
16	264	7508
17	275	7390
18	287	7286
19	299	7195
20	311	7108
21	324	7054
22	336	6979
23	350	6950
24	362	6881
25	374	6834
26	389	6815
27	402	6785
28	416	6762
29	430	6740
30	443	6705
31	456	6680
32	471	6669
33	483	6630
34	498	6620
35	512	6600
36	528	6611
37	543	6610
38	559	6608
39	572	6587
40	588	6592
41	603	6581
42	616	6551
43	628	6510
44	642	6491
45	656	6474
46	669	6450
47	681	6419
48	695	6401
49	709	6388
50	723	6369
51	736	6344
52	749	6322
53	762	6298
54	775	6276
55	788	6254
56	802	6239
57	816	6225
58	833	6231
59	847	6216
60	864	6220
61	880	6216
62	896	6215
63	908	6186
64	920	6161
65	934	6145
66	948	6131
67	962	6111
68	975	6096
69	990	6081
70	1004	6070
71	1018	6055
72	1033	6043
73	1047	6029
74	1062	6020
75	1075	5997
76	1088	5979
77	1103	5968
78	1117	5956
79	1131	5938
80	1144	5918
81	1158	5904
82	1171	5884
83	1185	5872
84	1200	5859
85	1215	5850
86	1228	5832
87	1242	5819
88	1255	5795
89	1266	5770
90	1280	5755
91	1292	5731
92	1303	5706
93	1317	5691
94	1329	5666
95	1341	5644
96	1353	5622
97	1364	5597
98	1376	5575
99	1389	5556
100	1401	5536
101	1414	5517
102	1425	5495
103	1436	5467
104	1446	5440
105	1458	5419
106	1469	5398
107	1480	5375
108	1493	5357
109	1505	5338
110	1517	5318
111	1531	5306
112	1547	5298
113	1560	5284
114	1571	5259
115	1583	5241
116	1595	5222
117	1609	5209
118	1621	5192
119	1634	5175
120	1648	5162
121	1662	5149
122	1678	5144
123	1693	5136
124	1707	5123
125	1723	5114
126	1735	5097
127	1748	5081
128	1760	5064
129	1773	5048
130	1786	5031
131	1797	5012
132	1811	4997
133	1822	4979
134	1835	4961
135	1846	4940
136	1859	4926
137	1871	4910
138	1883	4891
139	1895	4875
140	1907	4857
141	1918	4837
142	1928	4814
143	1940	4796
144	1950	4776
145	1961	4756
146	1973	4738
147	1984	4720
148	1995	4701
149	2006	4682
150	2019	4666
151	2030	4647
152	2040	4626
153	2051	4609
154	2061	4589
155	2072	4571
156	2084	4553
157	2094	4534
158	2106	4516
159	2117	4499
160	2127	4479
161	2138	4462
162	2150	4445
163	2162	4430
164	2175	4416
165	2188	4402
166	2202	4390
167	2214	4376
168	2230	4368
169	2242	4352
170	2255	4338
171	2267	4323
172	2279	4308
173	2291	4292
174	2302	4276
175	2316	4263
176	2328	4249
177	2341	4236
178	2352	4219
179	2363	4202
180	2376	4188
181	2386	4170
182	2397	4153
183	2410	4140
184	2422	4123
185	2435	4111
186	2447	4096
187	2459	4080
188	2470	4065
189	2480	4047
190	2493	4033
191	2505	4018
192	2516	4002
193	2528	3988
194	2542	3976
195	2554	3962
196	2565	3946
197	2577	3932
198	2590	3917
199	2601	3902
200	2611	3885
201	2623	3870
202	2634	3854
203	2644	3836
204	2655	3820
205	2666	3806
206	2678	3790
207	2689	3775
208	2700	3760
209	2712	3746
210	2724	3731
211	2734	3715
212	2745	3699
213	2757	3685
214	2770	3672
215	2782	3659
216	2794	3644
217	2806	3630
218	2817	3615
219	2828	3600
220	2840	3586
221	2852	3572
222	2863	3556
223	2872	3539
224	2883	3524
225	2894	3509
226	2906	3495
227	2918	3481
228	2928	3466
229	2940	3452
230	2951	3437
231	2961	3421
232	2972	3406
233	2983	3391
234	2993	3375
235	3003	3360
236	3015	3345
237	3026	3331
238	3037	3316
239	3047	3300
240	3058	3287
241	3069	3272
242	3080	3257
243	3090	3242
244	3100	3227
245	3110	3211
246	3121	3197
247	3133	3183
248	3145	3170
249	3155	3155
250	3165	3140
251	3176	3125
252	3185	3110
253	3195	3095
254	3206	3080
255	3217	3066
256	3227	3051
257	3238	3037
258	3249	3023
259	3258	3008
260	3269	2994
261	3279	2978
262	3290	2964
263	3300	2950
264	3311	2936
265	3322	2922
266	3332	2907
267	3342	2893
268	3353	2879
269	3364	2866
270	3374	2851
271	3384	2837
272	3394	2822
273	3405	2809
274	3416	2795
275	3426	2781
276	3437	2767
277	3447	2753
278	3457	2739
279	3468	2725
280	3478	2710
281	3489	2697
282	3500	2683
283	3510	2669
284	3522	2657
285	3533	2643
286	3544	2630
287	3554	2616
288	3564	2602
289	3575	2588
290	3585	2575
291	3597	2562
292	3607	2548
293	3617	2534
294	3628	2521
295	3638	2507
296	3649	2494
297	3660	2481
298	3669	2467
299	3679	2453
300	3690	2439
301	3700	2426
302	3710	2412
303	3722	2400
304	3732	2386
305	3743	2373
306	3753	2359
307	3764	2346
308	3774	2332
309	3784	2319
310	3793	2305
311	3805	2292
312	3815	2279
313	3826	2266
314	3837	2253
315	3847	2240
316	3857	2226
317	3868	2213
318	3878	2200
319	3888	2187
320	3898	2173
321	3909	2161
322	3919	2147
323	3929	2134
324	3940	2121
325	3951	2108
326	3963	2097
327	3975	2084
328	3987	2072
329	3999	2060
330	4012	2048
331	4024	2036
332	4036	2024
333	4047	2011
334	4060	1999
335	4070	1986
336	4082	1974
337	4093	1962
338	4103	1948
339	4115	1936
340	4128	1924
341	4137	1911
342	4148	1898
343	4157	1885
344	4169	1873
345	4184	1862
346	4196	1850
347	4208	1838
348	4221	1826
349	4233	1814
350	4242	1801
351	4253	1788
352	4264	1776
353	4276	1763
354	4287	1751
355	4297	1738
356	4307	1725
357	4318	1712
358	4328	1699
359	4339	1687
360	4349	1674
361	4360	1662
362	4372	1650
363	4383	1637
364	4395	1625
365	4406	1613
366	4416	1600
367	4428	1588
368	4438	1575
369	4449	1563
370	4460	1550
371	4469	1537
372	4480	1525
373	4491	1513
374	4501	1500
375	4513	1488
376	4526	1476
377	4536	1464
378	4548	1452
379	4559	1439
380	4569	1427
381	4579	1414
382	4590	1402
383	4600	1389
384	4612	1377
385	4622	1365
386	4634	1353
387	4646	1341
388	4656	1328
389	4665	1315
